content,data,like,place,tags
IU for J.Estina enhanced photos@j.estina_official 👒🍀💜*Credits and tag if repost*#아이유#IU,2021-06-17,0,,"['#아이유', '#IU']"
🤍#iu #아이유 #korea #koreagirl #producer #leejieun #dlwlrma #李知恩 #singer #sing #Seoul #kpop #princess,2021-06-16,0,,"['#iu', '#아이유', '#korea', '#koreagirl', '#producer', '#leejieun', '#dlwlrma', '#李知恩', '#singer', '#sing', '#Seoul', '#kpop', '#princess']"
"how can an ad be so cute😭🥺 and ‘dream’ filming continuation when😩💗please give credits when repost, thank you✨#IU #dlwlrma #아이유 #이지금",2021-06-16,0,IU,"['#IU', '#dlwlrma', '#아이유', '#이지금']"
Love of my life 💘cr.lily__jieun#iu #dlwlrma #jieun #uaena #아이유 #이지금 #이지은 #유애나,2021-06-18,0,,"['#iu', '#dlwlrma', '#jieun', '#uaena', '#아이유', '#이지금', '#이지은', '#유애나']"
윙크 할수있어? ㅋㅋㅋ 🌸,2021-06-16,0,,[]
| 𝑆𝑢𝑚𝑚𝑒𝑟 𝑃𝑎𝑟𝑎𝑑𝑖𝑠𝑒 𝑊𝑖𝑡ℎ 𝐼𝑈⠀뜨거운 태양 아래 더 영롱하게반짝이는 #화이트몬드 💙⠀#JESTINA #IU,2021-06-18,0,,"['#화이트몬드', '#JESTINA', '#IU']"
"Miss you both so so much😭😭😭Thank you for sharing🙏 #repost @lovejgstar・・・We missing you two ✨💖@actor_jg 💕 @dlwlrma Repostby @jieunactive thanks 😊 no one knows how painful this video is.. it's useless to say ""season 2 please"", impossible if there's moon lovers season 2🥲 after a long time they are finally in one frame!! i was very happy when i first found out lee joon gi played at hotel del luna even though it's not long.. GUYS! hae soo and wang so have met again😭 🎵 I'm Missing You - Sunjae❤️@actor_jg 💗 @dlwlrma #actor_jg #dlwlrma #dlwlrma_iu #이지은 #아이유 #이준기 #dlwlrma_jieun #leejoongi #leejieun #iu #uaena #leejunki #wangso #haesoo #leeleecouple #haesoowangso #joonu #sosoocouple #sosoo #leeleecouple #wangsohaesoo#ScarletHeartRyeo #moonlovers#moonloversscarletheartryeo #scarletheartryeo2#scarletheartryeoseason2 #koreandrama #bubujingxin #hoteldelluna #flowerofevil",2021-06-18,0,,"['#repost', '#actor_jg', '#dlwlrma', '#dlwlrma_iu', '#이지은', '#아이유', '#이준기', '#dlwlrma_jieun', '#leejoongi', '#leejieun', '#iu', '#uaena', '#leejunki', '#wangso', '#haesoo', '#leeleecouple', '#haesoowangso', '#joonu', '#sosoocouple', '#sosoo', '#leeleecouple', '#wangsohaesoo', '#ScarletHeartRyeo', '#moonlovers', '#moonloversscarletheartryeo', '#scarletheartryeo2', '#scarletheartryeoseason2', '#koreandrama', '#bubujingxin', '#hoteldelluna', '#flowerofevil']"
"IU cover 總合輯 整理一次聽❗❗❗真的時不時要來回味一下～🥺💗因為知恩翻唱真的好好聽😭😭❤️我的內心終於能夠平靜 so comfortable 😌1.That's Okay - D.O2.Best part - Daniel Caesar, H.E.R3.Off my face - Justin Bieber4.Solar system - Sung Si Kyung5.MAMA DON'T WORRY - Sam Kim6.The Snowman - Jung Seung Hwan7.Adult - Sondia8.Another Rainy Day - Corrine Bailer9.Time Forgets - Yoon Hyun Sang10.그의 그대- Cherry B𝐅𝐨𝐥𝐥𝐨𝐰 𝐟𝐨𝐫 𝐦𝐨𝐫𝐞 @iu_fandom_#이지은 #아이유 #leejieun #李知恩#iu #iu李知恩 #李知恩iu #張滿月#國民妹妹 #知恩 #iuleejieun #李知金#dlwlrma #dlwlrma_iu #jieun #leejieun_iu#全世界最好的李知恩 #uaena #kpop #korean#singer #actress #blueming #backstage #concert",2021-06-14,0,,"['#이지은', '#아이유', '#leejieun', '#李知恩', '#iu', '#iu李知恩', '#李知恩iu', '#張滿月', '#國民妹妹', '#知恩', '#iuleejieun', '#李知金', '#dlwlrma', '#dlwlrma_iu', '#jieun', '#leejieun_iu', '#全世界最好的李知恩', '#uaena', '#kpop', '#korean', '#singer', '#actress', '#blueming', '#backstage', '#concert']"
「做自己是我的自由。」-面對流言蜚語你曾說過這樣一句話卻總是忘記你也只是29歲的女孩小小年紀就出道的你聽過了無數的批評一直很佩服這樣的你言論自由是屬於大家的做自己的自由是屬於自己的我們不能忘記 做自己 才是最重要的-𝐘𝐘°- #𝑭𝒐𝒓𝑼 #iu #李知恩 #iulove #李知恩iu #iu李知恩 #李知恩😍 #李知恩❤ #李知恩이지은 #李知金 #Celebrity #아이유 #이지은 #이지금 #dlwlrma #dlwlrma_iu #dlwlrma_아이유 #dlwlrma_jieun #dlwlrma_iu_jieun #李知恩的養成日記🐥,2021-06-19,0,,"['#𝑭𝒐𝒓𝑼', '#iu', '#李知恩', '#iulove', '#李知恩iu', '#iu李知恩', '#李知恩😍', '#李知恩❤', '#李知恩이지은', '#李知金', '#Celebrity', '#아이유', '#이지은', '#이지금', '#dlwlrma', '#dlwlrma_iu', '#dlwlrma_아이유', '#dlwlrma_jieun', '#dlwlrma_iu_jieun', '#李知恩的養成日記🐥']"
@dlwlrma 🍓❤️. . 𝗔𝗻𝗴𝗲𝗹 🧚🏻‍♀️..𝗘𝗱𝗶𝘁𝗲𝗱 𝗯𝘆 𝗺𝘆𝘀𝗲𝗹𝗳 ✨𝗖𝗿𝗲𝗱𝘀 𝗺𝗲 𝗶𝗳 𝗿𝗲𝗽𝗼𝘀𝘁 𝘁𝘆 🥰.. #dlwlrma #dlwlrma_iu #dlwlrma_아이유 #dlwlrma_jieun #dlwlrma_iu_jieun #dlwlrmaleejieun #dlwlrma_leejigeum #dlwlrma_jieun_iu #dlwlrmaconcert #hoteldelluna #jieun #leejieun_iu #iuedit #iusuga #iueight #happyiuday #leejieun #8 #iu #coverbybc #아이유 #이지은 #이지금 #유애나 #edamentertainment #instalike #instadaily #fashion#beautiful#happy .........𝗦𝗽𝗲𝗰𝗶𝗮𝗹 𝗔𝗰𝗰𝗼𝘂𝗻𝘁 💖@harshmeetsingh99 💝 ........𝗙𝗼𝗿 𝗺𝗼𝗿𝗲 𝗳𝗼𝗹𝗹𝗼𝘄 @i.u_ily_ 🍒,2021-06-20,0,𝐈𝐔아이유 𝐥𝐞𝐞 𝐣𝐢 𝐞𝐮𝐧-𝐦𝐲 𝐰𝐨𝐫𝐥𝐝,"['#dlwlrma', '#dlwlrma_iu', '#dlwlrma_아이유', '#dlwlrma_jieun', '#dlwlrma_iu_jieun', '#dlwlrmaleejieun', '#dlwlrma_leejigeum', '#dlwlrma_jieun_iu', '#dlwlrmaconcert', '#hoteldelluna', '#jieun', '#leejieun_iu', '#iuedit', '#iusuga', '#iueight', '#happyiuday', '#leejieun', '#8', '#iu', '#coverbybc', '#아이유', '#이지은', '#이지금', '#유애나', '#edamentertainment', '#instalike', '#instadaily', '#fashion', '#beautiful', '#happy']"
